Offset: 0x0, Avg Latency: 89 ns
Offset: 0x40, Avg Latency: 95 ns
Offset: 0x80, Avg Latency: 88 ns
Offset: 0xc0, Avg Latency: 144 ns
Offset: 0x100, Avg Latency: 91 ns
Offset: 0x140, Avg Latency: 100 ns
Offset: 0x180, Avg Latency: 88 ns
Offset: 0x1c0, Avg Latency: 88 ns
Offset: 0x200, Avg Latency: 90 ns
Offset: 0x240, Avg Latency: 118 ns
Offset: 0x280, Avg Latency: 89 ns
Offset: 0x2c0, Avg Latency: 92 ns
Offset: 0x300, Avg Latency: 90 ns
Offset: 0x340, Avg Latency: 91 ns
Offset: 0x380, Avg Latency: 91 ns
Offset: 0x3c0, Avg Latency: 91 ns
Offset: 0x400, Avg Latency: 88 ns
Offset: 0x440, Avg Latency: 89 ns
Offset: 0x480, Avg Latency: 87 ns
Offset: 0x4c0, Avg Latency: 89 ns
Offset: 0x500, Avg Latency: 91 ns
Offset: 0x540, Avg Latency: 88 ns
Offset: 0x580, Avg Latency: 101 ns
Offset: 0x5c0, Avg Latency: 88 ns
Offset: 0x600, Avg Latency: 91 ns
Offset: 0x640, Avg Latency: 102 ns
Offset: 0x680, Avg Latency: 90 ns
Offset: 0x6c0, Avg Latency: 91 ns
Offset: 0x700, Avg Latency: 92 ns
Offset: 0x740, Avg Latency: 90 ns
Offset: 0x780, Avg Latency: 257 ns
Offset: 0x7c0, Avg Latency: 91 ns
Offset: 0x800, Avg Latency: 90 ns
Offset: 0x840, Avg Latency: 88 ns
Offset: 0x880, Avg Latency: 87 ns
Offset: 0x8c0, Avg Latency: 88 ns
Offset: 0x900, Avg Latency: 106 ns
Offset: 0x940, Avg Latency: 101 ns
Offset: 0x980, Avg Latency: 110 ns
Offset: 0x9c0, Avg Latency: 110 ns
Offset: 0xa00, Avg Latency: 136 ns
Offset: 0xa40, Avg Latency: 90 ns
Offset: 0xa80, Avg Latency: 89 ns
Offset: 0xac0, Avg Latency: 91 ns
Offset: 0xb00, Avg Latency: 93 ns
Offset: 0xb40, Avg Latency: 91 ns
Offset: 0xb80, Avg Latency: 90 ns
Offset: 0xbc0, Avg Latency: 90 ns
Offset: 0xc00, Avg Latency: 88 ns
Offset: 0xc40, Avg Latency: 89 ns
Offset: 0xc80, Avg Latency: 88 ns
Offset: 0xcc0, Avg Latency: 87 ns
Offset: 0xd00, Avg Latency: 87 ns
Offset: 0xd40, Avg Latency: 88 ns
Offset: 0xd80, Avg Latency: 87 ns
Offset: 0xdc0, Avg Latency: 114 ns
Offset: 0xe00, Avg Latency: 89 ns
Offset: 0xe40, Avg Latency: 91 ns
Offset: 0xe80, Avg Latency: 173 ns
Offset: 0xec0, Avg Latency: 90 ns
Offset: 0xf00, Avg Latency: 90 ns
Offset: 0xf40, Avg Latency: 89 ns
Offset: 0xf80, Avg Latency: 90 ns
Offset: 0xfc0, Avg Latency: 89 ns
Offset: 0x1000, Avg Latency: 91 ns
Offset: 0x1040, Avg Latency: 115 ns
Offset: 0x1080, Avg Latency: 89 ns
Offset: 0x10c0, Avg Latency: 88 ns
Offset: 0x1100, Avg Latency: 88 ns
Offset: 0x1140, Avg Latency: 89 ns
Offset: 0x1180, Avg Latency: 186 ns
Offset: 0x11c0, Avg Latency: 110 ns
Offset: 0x1200, Avg Latency: 89 ns
Offset: 0x1240, Avg Latency: 89 ns
Offset: 0x1280, Avg Latency: 87 ns
Offset: 0x12c0, Avg Latency: 115 ns
Offset: 0x1300, Avg Latency: 114 ns
